Timestamp,Symbol,Type,Strategy,Strike,Premium,PriceSource,Spot,Volume,OI,OI_Change,IV,IV_Percentile,IV_Rank,IV_Source,Market_Regime,RSI,Tier,Moneyness,Expiry,DaysToExpiry,LotSize,TotalCost,Breakeven,DistanceFromSpot,Leg1_Strike,Leg1_Premium,Leg1_Action,Leg2_Strike,Leg2_Premium,Leg2_Action,MaxProfit,MaxLoss,RewardRatio
2025-12-29 15:58:43,NIFTY,INDEX,Bear Put Spread,25950/25850,31.5,spread,25949.8,10967925,97531,0,9.15,0,0,opstra,,50,INDEX,ATM,30-Dec-2025,0,25,787.5,25918.5,-0.4%,25950,45.1,BUY,25850,13.6,SELL,1712.5,787.5,2.17
2025-12-29 15:58:43,NIFTY,INDEX,Bull Call Spread,25950/26050,33.6,spread,25949.8,9280226,123100,0,9.15,0,0,opstra,,50,INDEX,ATM,30-Dec-2025,0,25,840.0,25983.6,+0.4%,25950,52,BUY,26050,18.4,SELL,1660.0,840.0,1.98
2025-12-29 15:58:43,NIFTY,INDEX,Long Put,26000,73.6,ltp,25949.8,8310980,151630,-47775.666666666664,9.15,0,0,opstra,LOW_VOL,0,INDEX,ATM,30-Dec-2025,0,25,1840.0,25926.4,+0.2% ITM,,,,,,,,,
2025-12-29 15:58:43,NIFTY,INDEX,Long Call,26000,30.85,ltp,25949.8,7160625,307118,158127.33333333334,9.15,0,0,opstra,LOW_VOL,0,INDEX,ATM,30-Dec-2025,0,25,771.25,26030.85,+0.2% OTM,,,,,,,,,
2025-12-29 15:58:43,NIFTY,INDEX,Long Put,25950,44.85,ltp,25949.8,7159906,97531,21783,9.15,0,0,opstra,LOW_VOL,0,INDEX,ATM,30-Dec-2025,0,25,1121.25,25905.15,+0.0% ITM,,,,,,,,,
2025-12-29 15:58:43,NIFTY,INDEX,Long Call,26100,11.05,ltp,25949.8,5960751,295473,88937,9.15,0,0,opstra,LOW_VOL,0,INDEX,ATM,30-Dec-2025,0,25,276.25,26111.05,+0.6% OTM,,,,,,,,,
2025-12-29 15:58:43,NIFTY,INDEX,Long Call,26050,18.4,ltp,25949.8,5449732,157169,48456,9.15,0,0,opstra,LOW_VOL,0,INDEX,ATM,30-Dec-2025,0,25,460.0,26068.4,+0.4% OTM,,,,,,,,,
2025-12-29 15:58:43,NIFTY,INDEX,Long Call,25950,51.75,ltp,25949.8,3830494,123100,106547,9.15,0,0,opstra,LOW_VOL,0,INDEX,ATM,30-Dec-2025,0,25,1293.75,26001.75,+0.0% OTM,,,,,,,,,
2025-12-29 15:58:44,BANKNIFTY,INDEX,Bear Put Spread,59000/58800,86.2,spread,58953.95,2133350,33462,0,8.18,0,0,opstra,,50,INDEX,ATM,30-Dec-2025,0,15,1293.0,58913.8,-0.3%,59000,152.1,BUY,58800,65.9,SELL,1707.0,1293.0,1.32
2025-12-29 15:58:44,BANKNIFTY,INDEX,Bull Call Spread,59000/59200,51.1,spread,58953.95,2014156,30659,0,8.18,0,0,opstra,,50,INDEX,ATM,30-Dec-2025,0,15,766.5,59051.1,+0.4%,59000,89.3,BUY,59200,38.2,SELL,2233.5,766.5,2.91
2025-12-29 16:00:16,TATASTEEL,STOCK,Bull Call Spread,172.5/175,0.37,spread,172.3,45629,1510,0,20.44,1,6,opstra,,65.5,,ATM,30-Dec-2025,0,1500,555.0,172.87,+1.6%,172.5,0.54,BUY,175,0.17,SELL,3195.0,555.0,5.76
2025-12-29 15:59:15,RELIANCE,STOCK,Bull Call Spread,1550/1560,2.25,spread,1545.6,44145,3725,0,11.29,0,1,opstra,,51.1,,ATM,30-Dec-2025,0,250,562.5,1552.25,+0.9%,1550,2.8,BUY,1560,0.55,SELL,1937.5,562.5,3.44
2025-12-29 15:59:12,INFY,STOCK,Bear Put Spread,1640/1620,2.5,spread,1644.7,36259,3625,0,13.97,0,0,opstra,,58.3,,ATM,30-Dec-2025,0,400,1000.0,1637.5,-1.5%,1640,2.65,BUY,1620,0.15,SELL,7000.0,1000.0,7.0
2025-12-29 15:59:15,RELIANCE,STOCK,Bear Put Spread,1550/1540,3.95,spread,1545.6,31407,1337,0,11.29,0,1,opstra,,51.1,,ATM,30-Dec-2025,0,250,987.5,1546.05,-0.4%,1550,6.45,BUY,1540,2.5,SELL,1512.5,987.5,1.53
2025-12-29 15:59:12,INFY,STOCK,Bull Call Spread,1640/1660,6.25,spread,1644.7,29704,3253,0,13.97,0,0,opstra,,58.3,,ATM,30-Dec-2025,0,400,2500.0,1646.25,+0.9%,1640,7.65,BUY,1660,1.4,SELL,5500.0,2500.0,2.2
2025-12-29 16:00:19,BEL,STOCK,Bull Call Spread,395/400,0.95,spread,393.25,29455,935,0,21.86,6,8,opstra,,58.7,,ATM,30-Dec-2025,0,3900,3705.0,395.95,+1.7%,395,1.4,BUY,400,0.45,SELL,15795.0,3705.0,4.26
2025-12-29 16:00:06,MARUTI,STOCK,Bear Put Spread,16500/16400,21.45,spread,16542.0,25281,1460,0,12.46,0,0,opstra,,61.0,,ATM,30-Dec-2025,0,100,2145.0,16478.55,-0.9%,16500,24.85,BUY,16400,3.4,SELL,7855.0,2145.0,3.66
2025-12-29 16:00:10,TRENT,STOCK,Bull Call Spread,4200/4300,27.7,spread,4226.0,24641,668,0,26.17,8,7,opstra,,61.3,,ATM,30-Dec-2025,0,300,8310.0,4227.7,+1.8%,4200,32.5,BUY,4300,4.8,SELL,21690.0,8310.0,2.61
